,year,SMT,VCI,TCI,VHI
117,1983 48  0.063,263.0,32.54,52.97,42.75
118,1983 49  0.057,261.43,32.16,53.45,42.81
119,1983 50  0.056,260.23,34.69,55.86,45.28
120,1983 51  0.053,258.83,33.78,56.96,45.37
121,1983 52  0.050,257.95,31.6,56.35,43.98
122,1984 01  0.050,258.91,30.42,48.58,39.5
123,1984 02  0.049,259.66,27.67,46.95,37.31
124,1984 03  0.050,259.47,27.91,51.28,39.59
125,1984 04  0.050,259.21,28.92,55.81,42.36
126,1984 05  0.050,259.24,28.24,61.17,44.7
127,1984 06  0.049,259.03,25.82,67.49,46.65
128,1984 07  0.048,259.36,23.18,72.91,48.05
129,1984 08  0.049,259.49,21.75,81.31,51.53
130,1984 09  0.050,260.99,19.84,84.81,52.33
131,1984 10  0.055,264.0,18.69,83.58,51.13
132,1984 11  0.061,267.5,18.29,77.82,48.06
133,1984 12  0.070,271.5,18.81,73.46,46.14
134,1984 13  0.082,276.37,20.36,62.71,41.54
135,1984 14  0.095,280.73,22.27,50.03,36.15
136,1984 15  0.112,283.98,23.46,43.21,33.33
137,1984 16  0.132,286.07,22.25,46.11,34.18
138,1984 17  0.154,288.0,21.03,47.14,34.08
139,1984 18  0.178,289.66,18.26,52.06,35.16
140,1984 19  0.206,291.01,16.61,55.96,36.29
141,1984 20  0.234,291.87,16.79,60.69,38.74
142,1984 21  0.262,292.33,20.6,65.1,42.85
143,1984 22  0.278,292.2,21.73,72.72,47.23
144,1984 23  0.290,291.95,23.21,79.54,51.38
145,1984 24  0.299,291.9,24.16,84.52,54.34
146,1984 25  0.309,292.17,26.93,86.58,56.75
147,1984 26  0.313,292.22,28.25,88.12,58.18
148,1984 27  0.319,292.44,30.23,86.23,58.23
149,1984 28  0.321,292.67,33.06,84.42,58.74
150,1984 29  0.324,293.21,38.53,81.59,60.06
151,1984 30  0.323,293.72,44.48,77.08,60.78
152,1984 31  0.311,293.42,41.68,78.76,60.22
153,1984 32  0.303,293.24,38.55,77.94,58.25
154,1984 33  0.294,292.86,35.27,75.4,55.33
155,1984 34  0.279,291.84,30.86,77.78,54.32
156,1984 35  0.255,290.19,23.83,83.96,53.89
157,1984 36  0.227,288.41,17.05,88.49,52.77
158,1984 37  0.204,287.3,13.04,87.1,50.07
159,1984 38  0.182,285.74,9.11,87.0,48.05
160,1984 39  0.157,283.82,4.77,87.14,45.96
161,1984 40  0.139,281.77,3.47,88.97,46.22
162,1984 41  0.124,279.41,3.64,88.5,46.07
163,1984 42  0.113,277.95,5.56,77.15,41.35
164,1984 43  0.100,275.88,8.41,68.11,38.26
165,1984 44  0.083,273.29,7.95,60.45,34.2
166,1984 45  0.072,270.6,9.37,58.16,33.76
167,1984 46  0.060,268.32,10.4,52.98,31.69
168,1984 47  0.052,267.14,13.72,40.22,26.97
169,1984 48  0.048,266.84,18.08,31.92,25.0
170,1984 49  0.046,267.48,21.77,23.44,22.61
171,1985 09  0.061,268.54,23.92,44.28,34.1
172,1985 10  0.062,268.96,20.67,55.05,37.86
173,1985 11  0.066,270.73,19.21,56.94,38.07
174,1985 12  0.075,273.59,19.49,59.14,39.32
175,1985 13  0.090,277.54,22.22,54.9,38.56
176,1985 14  0.109,281.27,28.2,46.79,37.49
177,1985 15  0.131,284.25,32.93,41.73,37.33
178,1985 16  0.155,286.52,33.82,42.65,38.23
179,1985 17  0.182,288.58,34.81,42.57,38.69
180,1985 18  0.203,290.18,30.7,48.35,39.53
181,1985 19  0.230,291.76,29.09,50.0,39.54
182,1985 20  0.250,292.8,24.99,53.13,39.06
183,1985 21  0.268,293.36,23.02,55.85,39.44
184,1985 22  0.279,293.73,21.08,58.23,39.65
185,1985 23  0.284,293.37,19.35,66.12,42.73
186,1985 24  0.287,292.91,18.22,75.15,46.68
187,1985 25  0.293,293.14,19.99,77.78,48.88
188,1985 26  0.301,293.39,22.41,77.82,50.12
189,1985 27  0.309,293.76,25.65,74.87,50.26
190,1985 28  0.312,293.88,28.42,74.6,51.51
191,1985 29  0.318,294.44,35.05,71.87,53.46
192,1985 30  0.325,295.23,44.29,64.71,54.5
193,1985 31  0.333,296.1,51.44,53.94,52.69
194,1985 32  0.341,296.76,57.35,41.89,49.62
195,1985 33  0.336,297.01,57.27,26.93,42.1
196,1985 34  0.322,296.73,53.29,15.52,34.4
197,1985 35  0.306,295.86,49.85,10.3,30.07
198,1985 36  0.286,294.06,46.48,13.91,30.19
199,1985 37  0.264,292.16,43.47,20.92,32.19
200,1985 38  0.238,290.3,39.06,22.74,30.9
201,1985 39  0.214,288.0,36.94,28.15,32.55
202,1985 40  0.189,285.23,34.02,40.81,37.41
203,1985 41  0.169,282.51,32.51,48.43,40.47
204,1985 42  0.149,280.26,26.49,50.35,38.42
205,1985 43  0.134,278.02,27.82,47.44,37.63
206,1985 44  0.119,275.21,30.56,42.63,36.6
207,1985 45  0.102,271.86,30.19,47.94,39.07
208,1985 46  0.076,268.04,22.13,54.95,38.54
209,1985 47  0.054,265.13,13.18,51.78,32.49
210,1985 48  0.043,261.99,10.88,56.91,33.9
211,1985 49  0.039,259.17,12.93,63.08,38.0
212,1985 50  0.036,256.95,13.53,70.59,42.06
213,1985 51  0.033,254.87,12.2,73.84,43.02
214,1985 52  0.031,253.14,12.09,76.27,44.18
215,1986 01  0.031,252.59,11.33,77.26,44.3
216,1986 02  0.033,254.0,15.46,74.24,44.85
217,1986 03  0.034,256.05,18.72,69.06,43.89
218,1986 04  0.035,257.4,22.39,65.36,43.88
219,1986 05  0.036,257.9,26.04,68.03,47.03
220,1986 06  0.037,258.98,25.73,69.09,47.41
221,1986 07  0.036,261.15,22.92,66.73,44.83
222,1986 08  0.037,263.71,19.82,63.55,41.68
223,1986 09  0.039,266.28,17.3,61.62,39.46
224,1986 10  0.042,269.2,13.85,59.71,36.78
225,1986 11  0.048,272.9,12.96,50.34,31.65
226,1986 12  0.058,276.73,12.64,45.05,28.84
227,1986 13  0.072,280.0,13.67,41.16,27.42
228,1986 14  0.095,283.53,20.66,30.9,25.78
229,1986 15  0.123,286.9,27.97,19.42,23.7
230,1986 16  0.155,289.45,33.67,15.66,24.67
231,1986 17  0.196,291.66,42.37,12.12,27.24
232,1986 18  0.243,293.7,52.01,12.19,32.1
233,1986 19  0.276,295.23,54.84,12.88,33.86
234,1986 20  0.304,296.52,54.74,12.55,33.65
235,1986 21  0.326,297.6,56.47,10.67,33.57
236,1986 22  0.345,298.2,60.81,11.32,36.07
237,1986 23  0.352,298.57,60.65,11.53,36.09
238,1986 24  0.352,298.7,57.4,11.97,34.69
239,1986 25  0.355,298.83,56.0,14.29,35.14
240,1986 26  0.350,298.43,51.22,21.61,36.42
241,1986 27  0.346,297.51,47.47,33.91,40.69
242,1986 28  0.338,296.95,44.53,42.51,43.52
243,1986 29  0.334,296.97,44.85,45.63,45.24
244,1986 30  0.334,296.82,49.47,48.48,48.98
245,1986 31  0.327,296.26,48.95,52.22,50.59
246,1986 32  0.320,294.98,45.97,61.08,53.52
247,1986 33  0.316,294.41,45.89,58.19,52.04
248,1986 34  0.305,293.29,44.32,59.81,52.06
249,1986 35  0.295,292.16,44.31,58.91,51.61
250,1986 36  0.280,290.61,43.05,60.0,51.53
251,1986 37  0.269,288.64,45.68,69.55,57.61
252,1986 38  0.255,286.47,46.82,77.53,62.17
253,1986 39  0.237,284.41,47.68,80.09,63.88
254,1986 40  0.217,282.66,48.31,78.16,63.23
255,1986 41  0.196,281.5,47.68,62.71,55.2
256,1986 42  0.172,280.31,41.45,49.92,45.69
257,1986 43  0.143,278.58,34.45,41.88,38.17
258,1986 44  0.108,275.67,22.45,38.82,30.63
259,1986 45  0.084,273.39,15.72,36.61,26.16
260,1986 46  0.065,271.76,11.16,30.06,20.61
261,1986 47  0.051,269.6,8.85,26.67,17.76
262,1986 48  0.042,267.67,7.23,27.8,17.52
263,1986 49  0.035,265.71,5.87,31.87,18.87
264,1986 50  0.034,262.93,6.85,42.18,24.51
265,1986 51  0.033,260.2,7.75,50.16,28.95
266,1986 52  0.034,258.07,10.42,55.29,32.85
267,1987 01  0.033,256.68,9.52,58.75,34.13
268,1987 02  0.034,256.4,9.41,62.63,36.02
269,1987 03  0.036,256.37,11.0,66.64,38.82
270,1987 04  0.035,256.62,10.51,68.4,39.46
271,1987 05  0.033,256.56,9.26,73.98,41.62
